id,league_short_name,league_full_name
229,T1EHL U15,T1EHL U15
230,USPHL 18U,United States Premier Hockey League - 18U
231,USPHL 16U,United States Premier Hockey League - 16U
232,USPHL 15U,USPHL 15U
233,HPBHL,High Performance Major Bantam
234,HPBMHL,High Performance Minor Bantam
235,T1EBHL,Tier 1 Elite Major Bantam
236,T1EMBHL,Tier 1 Elite Minor Bantam
237,USDP,US National Development Program
238,USHS-Prep,"United States High School, Preparatory"
239,USHS-MN,"United States High School, Minnesota"
240,USHS-MI,"United States High School, Michigan"
241,USHS-NY,"United States High School, New York State"
242,USHS-MA,"United States High School, Massachusetts"
243,MPHL,Midwest Prep Hockey League
244,NSHL,Northern States Hockey League
245,WHL,Western Hockey League
246,AJHL,Alberta Junior Hockey League
247,BCHL,British Columbia Hockey League
248,MJHL,Manitoba Junior Hockey League
249,SIJHL,Superior International Junior Hockey League
250,SJHL,Saskatchewan Junior Hockey League
251,CalJHL,Calgary Junior Hockey League
252,CapJHL,Capital Junior Hockey League
253,HJHL,Heritage Junior B Hockey League
254,KJHL,Keystone Junior Hockey League
255,KIJHL,Kootenay International Junior Hockey League
256,NEAJBHL,North Eastern Alberta Junior B Hockey League
257,NWJHL,North West Junior Hockey League
258,PJHL,Prairie Junior Hockey League
259,PIJHL,Pacific Junior Hockey League
260,VIJHL,Vancouver Island Junior Hockey
261,CalJCHL,Calgary Junior C Hockey League
262,HTJHL,Hanover Tache Junior Hockey League
263,NorJHL,Noralta Junior C Hockey League
264,QVJHL,Qu'Appelle Valley Junior C Hockey League
265,AMHL,Alberta Midget Hockey League
266,AMMHL,Alberta Midget Minor
267,BCMML,BC Hockey Major Midget League
268,BCMIML,BC Minor Midget League
269,CSSHL,CSSHL
270,CSSHL E15,CSSHL E15
271,CSSVHL,CSSVHL
272,MMHL,Manitoba AAA Midget Hockey League
273,NAMHL,Northern Alberta Midget AA Hockey League
274,SMHL,Saskatchewan Midget AAA Hockey League
275,WU17MP,Winnipeg AAA U17 Midget Prep
276,AMBHL,Alberta Major Bantam
277,CSSBHL,CSSBHL
278,CSSBVHL,CSSBVHL
279,PCBHL,Pacific Coast Bantam Hockey League
280,SSMHL,S. Saskatoon Minor HL
281,SBAAHL,SBAAHL
282,WBAAA,Winnipeg Bantam AAA Div. 1
283,WBAAA2,Winnipeg Bantam Div 2
284,MMJHL,Manitoba Major Junior Hockey League
285,OHL,Ontario Hockey League
286,CCHL,Central Canada Hockey League
287,NOJHL,Northern Ontario Junior Hockey
288,OJHL,Ontario Junior Hockey League
289,CCHL2,CCHL2
290,GOJHL,Greater Ontario Junior Hockey League
291,LJHL,LJHL
292,NCJHL,National Capital Junior Hockey League
293,PJCHL,Provincial Junior Hockey League
294,AHMMPL,Alliance Hockey Minor Midget Pavilion League
295,AHMPL,AHMPL
296,ETAMMHL,Eastern Triple A Minor Midget Hockey League
297,GNML,Great North Midget Hockey League
298,GTHL,Greater Toronto Hockey League
299,GTMMHL,Greater Toronto Minor Midget Hockey League
300,HEOMAAA,HEOMAAA
301,SCTAMM,South Central Triple A Minor Midget
302,ETABHL,ETABHL
303,GTBHL,Greater Toronto Bantam Hockey League
304,NOBHL,Northern Ontario Bantam Hockey League
305,NOMBHL,Northern Ontario Minor Bantam Hockey League
306,OEBHL,OEBHL
307,OEMBHL,OEMBHL
308,CAHS,CAHS
309,CISAA,CISAA
310,CPJHL,Canadian Premier Jr Hockey League
311,GMHL,Greater Metro Hockey League
