iter	Passed	Remaining
778	8539	13385
779	8551	13375
780	8562	13364
781	8574	13355
782	8585	13344
783	8596	13333
784	8608	13323
785	8619	13312
786	8630	13302
787	8641	13291
788	8652	13279
789	8662	13268
790	8673	13256
791	8683	13245
792	8696	13237
793	8707	13226
794	8718	13214
795	8728	13202
796	8738	13189
797	8748	13177
798	8760	13167
799	8770	13156
800	8781	13144
801	8792	13134
802	8803	13123
803	8814	13111
804	8825	13100
805	8836	13089
806	8847	13078
807	8857	13066
808	8867	13055
809	8878	13043
810	8889	13032
811	8900	13021
812	8910	13009
813	8921	12998
814	8932	12987
815	8943	12977
816	8954	12966
817	8966	12956
818	8977	12944
819	8988	12934
820	8999	12923
821	9009	12911
822	9020	12900
823	9031	12889
824	9042	12878
825	9052	12866
826	9063	12854
827	9073	12843
828	9083	12831
829	9094	12820
830	9105	12808
831	9115	12796
832	9126	12786
833	9137	12775
834	9148	12764
835	9159	12753
836	9170	12742
837	9180	12730
838	9192	12720
839	9203	12709
840	9214	12699
841	9225	12688
842	9236	12676
843	9247	12666
844	9258	12654
845	9268	12642
846	9278	12631
847	9290	12621
848	9300	12609
849	9311	12598
850	9322	12587
851	9333	12576
852	9344	12564
853	9354	12553
854	9365	12542
855	9377	12531
856	9387	12520
857	9398	12509
858	9409	12498
859	9419	12486
860	9431	12476
861	9452	12478
862	9473	12481
863	9490	12478
864	9507	12475
865	9523	12470
866	9540	12468
867	9560	12467
868	9576	12463
869	9592	12459
870	9609	12455
871	9624	12450
872	9641	12446
873	9667	12455
874	9692	12462
875	9719	12470
876	9746	12480
877	9773	12489
878	9801	12499
879	9825	12505
880	9849	12510
881	9870	12511
882	9886	12506
883	9902	12500
884	9917	12495
885	9932	12488
886	9947	12482
887	9963	12477
888	9979	12471
889	9995	12466
890	10010	12460
891	10027	12455
892	10042	12449
893	10057	12441
894	10071	12434
895	10086	12428
896	10100	12420
897	10112	12409
898	10123	12397
899	10134	12386
900	10148	12379
901	10161	12369
902	10171	12356
903	10182	12345
904	10193	12333
905	10205	12322
906	10216	12311
907	10226	12299
908	10237	12287
909	10249	12276
910	10259	12264
911	10271	12253
912	10282	12242
913	10293	12230
914	10304	12219
915	10316	12208
916	10326	12196
917	10342	12190
918	10354	12179
919	10371	12174
920	10385	12167
921	10405	12166
922	10423	12162
923	10441	12159
924	10453	12148
925	10464	12137
926	10476	12126
927	10493	12121
928	10503	12109
929	10515	12098
930	10528	12089
931	10549	12088
932	10564	12081
933	10577	12071
934	10595	12068
935	10613	12064
936	10630	12060
937	10662	12071
938	10684	12072
939	10702	12068
940	10720	12065
941	10740	12062
942	10761	12062
943	10781	12060
944	10801	12059
945	10820	12055
946	10839	12052
947	10854	12045
948	10866	12034
949	10882	12027
950	10903	12027
951	10924	12026
952	10942	12022
953	10954	12011
954	10965	11999
955	10979	11990
956	10996	11984
957	11007	11972
958	11019	11961
959	11036	11956
960	11048	11945
961	11060	11933
962	11072	11923
963	11084	11912
964	11095	11900
965	11106	11888
966	11117	11876
967	11129	11865
968	11140	11853
969	11151	11841
970	11163	11830
971	11175	11819
972	11186	11807
973	11198	11795
974	11209	11784
975	11220	11772
976	11232	11761
977	11243	11749
978	11255	11737
979	11266	11726
980	11277	11714
981	11288	11702
982	11300	11691
983	11312	11680
984	11323	11668
985	11335	11657
986	11347	11645
987	11359	11635
988	11371	11624
989	11382	11612
990	11393	11600
991	11404	11588
992	11415	11576
993	11429	11567
994	11441	11556
995	11452	11544
996	11464	11532
997	11475	11521
998	11487	11510
999	11498	11498
1000	11510	11487
1001	11526	11480
1002	11540	11471
1003	11553	11461
1004	11566	11451
1005	11585	11447
1006	11597	11436
1007	11608	11424
1008	11624	11417
1009	11636	11406
1010	11648	11394
1011	11661	11384
1012	11672	11372
1013	11683	11361
1014	11696	11351
1015	11708	11340
1016	11722	11330
1017	11737	11322
1018	11748	11310
1019	11763	11301
1020	11777	11292
1021	11788	11281
1022	11800	11270
1023	11813	11259
1024	11825	11248
1025	11836	11236
1026	11849	11226
1027	11861	11215
1028	11872	11203
1029	11884	11192
1030	11895	11180
1031	11906	11168
1032	11919	11157
1033	11930	11145
1034	11941	11133
1035	11952	11121
1036	11965	11111
1037	11976	11099
1038	11987	11087
1039	11999	11076
1040	12010	11064
1041	12023	11053
1042	12035	11042
1043	12046	11031
1044	12058	11019
1045	12071	11009
1046	12083	10998
1047	12094	10986
1048	12105	10974
1049	12118	10964
1050	12129	10952
1051	12140	10940
1052	12153	10930
1053	12164	10918
